IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.11.182,2086,2086,false,SIN,Asia Pacific,Singapore,250,1.52
47.243.27.217,2087,2087,true,HKG,Asia Pacific,Hong Kong,637,1.52
47.76.33.40,2053,2053,true,HKG,Asia Pacific,Hong Kong,12,1.47
47.76.37.57,2083,2083,true,HKG,Asia Pacific,Hong Kong,392,1.44
47.236.174.206,2095,2095,false,SIN,Asia Pacific,Singapore,257,1.41
8.222.214.231,8880,8880,false,SIN,Asia Pacific,Singapore,319,1.40
47.242.232.14,2087,2087,true,HKG,Asia Pacific,Hong Kong,874,1.37
47.243.27.217,2082,2082,false,HKG,Asia Pacific,Hong Kong,457,1.33
47.243.173.187,2095,2095,false,HKG,Asia Pacific,Hong Kong,632,1.29
8.222.193.65,2096,2096,true,SIN,Asia Pacific,Singapore,256,1.28
8.218.243.95,80,80,false,HKG,Asia Pacific,Hong Kong,616,1.26
47.245.114.163,2087,2087,true,SIN,Asia Pacific,Singapore,255,1.23
47.76.37.57,2087,2087,true,HKG,Asia Pacific,Hong Kong,167,1.22
8.217.193.25,8080,8080,false,HKG,Asia Pacific,Hong Kong,653,1.21
47.242.107.109,8443,8443,true,HKG,Asia Pacific,Hong Kong,14,1.19
47.245.114.163,2082,2082,false,SIN,Asia Pacific,Singapore,257,1.18
8.219.200.145,8080,8080,false,SIN,Asia Pacific,Singapore,253,1.13
47.242.232.14,2082,2082,false,HKG,Asia Pacific,Hong Kong,537,1.11
47.236.145.85,8080,8080,false,SIN,Asia Pacific,Singapore,252,1.11
47.243.27.217,2095,2095,false,HKG,Asia Pacific,Hong Kong,184,1.09
8.222.156.242,2083,2083,true,SIN,Asia Pacific,Singapore,257,1.09
47.243.27.217,2096,2096,true,HKG,Asia Pacific,Hong Kong,249,1.04
8.218.188.129,2095,2095,false,HKG,Asia Pacific,Hong Kong,11,1.03
8.219.161.129,8080,8080,false,SIN,Asia Pacific,Singapore,250,1.02
47.76.204.76,8080,8080,false,HKG,Asia Pacific,Hong Kong,10,1.01
8.222.193.65,2095,2095,false,SIN,Asia Pacific,Singapore,249,0.99
8.210.66.190,2095,2095,false,HKG,Asia Pacific,Hong Kong,336,0.98
47.236.164.215,8880,8880,false,SIN,Asia Pacific,Singapore,252,0.98
47.236.125.62,2096,2096,true,NRT,Asia Pacific,Tokyo,353,0.91
47.76.178.146,2053,2053,true,HKG,Asia Pacific,Hong Kong,340,0.89
47.243.234.9,2083,2083,true,HKG,Asia Pacific,Hong Kong,11,0.87
47.245.105.224,2095,2095,false,SIN,Asia Pacific,Singapore,257,0.82
47.242.36.78,2095,2095,false,HKG,Asia Pacific,Hong Kong,12,0.81
47.243.234.9,8080,8080,false,HKG,Asia Pacific,Hong Kong,11,0.79
47.245.105.224,8880,8880,false,SIN,Asia Pacific,Singapore,258,0.72
8.218.22.210,8080,8080,false,HKG,Asia Pacific,Hong Kong,144,0.71
47.236.202.91,2083,2083,true,SIN,Asia Pacific,Singapore,249,0.69
47.76.204.76,8443,8443,true,HKG,Asia Pacific,Hong Kong,15,0.68
8.210.112.235,443,443,true,HKG,Asia Pacific,Hong Kong,9,0.67
47.236.146.249,2086,2086,false,SIN,Asia Pacific,Singapore,254,0.65
47.245.96.80,8080,8080,false,SIN,Asia Pacific,Singapore,293,0.62
47.236.17.193,8080,8080,false,SIN,Asia Pacific,Singapore,244,0.59
47.237.8.82,2053,2053,true,SIN,Asia Pacific,Singapore,248,0.58
47.76.178.146,2052,2052,false,HKG,Asia Pacific,Hong Kong,316,0.56
8.217.49.34,8880,8880,false,HKG,Asia Pacific,Hong Kong,465,0.56
47.236.75.152,2082,2082,false,SIN,Asia Pacific,Singapore,256,0.55
47.237.125.8,2087,2087,true,SIN,Asia Pacific,Singapore,246,0.54
47.236.232.148,2053,2053,true,SIN,Asia Pacific,Singapore,251,0.53
47.243.234.9,2095,2095,false,HKG,Asia Pacific,Hong Kong,11,0.49
47.236.75.152,2052,2052,false,SIN,Asia Pacific,Singapore,251,0.49
47.245.96.80,2053,2053,true,SIN,Asia Pacific,Singapore,252,0.46
8.219.144.168,443,443,true,SIN,Asia Pacific,Singapore,246,0.42
47.236.170.54,2052,2052,false,SIN,Asia Pacific,Singapore,248,0.36
47.74.4.97,443,443,true,NRT,Asia Pacific,Tokyo,118,0.36
47.236.181.185,8443,443,true,SIN,Asia Pacific,Singapore,258,0.32
47.236.202.91,2053,2053,true,SIN,Asia Pacific,Singapore,243,0.30
47.76.204.76,80,80,false,HKG,Asia Pacific,Hong Kong,8,0.26
8.210.66.190,8443,8443,true,HKG,Asia Pacific,Hong Kong,735,0.24
47.236.180.51,2086,2086,false,SIN,Asia Pacific,Singapore,247,0.23
47.237.125.8,80,80,false,SIN,Asia Pacific,Singapore,255,0.21
47.243.234.9,2053,2053,true,HKG,Asia Pacific,Hong Kong,9,0.18
8.218.173.78,2087,2087,true,HKG,Asia Pacific,Hong Kong,13,0.13
8.219.60.54,2053,2053,true,SIN,Asia Pacific,Singapore,247,0.10
47.236.125.62,2087,2087,true,NRT,Asia Pacific,Tokyo,330,0.10
8.210.92.27,443,443,true,HKG,Asia Pacific,Hong Kong,9,0.00
47.76.33.40,80,80,false,HKG,Asia Pacific,Hong Kong,457,0.00
47.236.117.48,2086,2086,false,SIN,Asia Pacific,Singapore,259,0.00
47.245.105.224,2087,2087,true,SIN,Asia Pacific,Singapore,253,0.00
47.236.170.225,8880,8880,false,SIN,Asia Pacific,Singapore,244,0.00
8.218.173.78,2083,2083,true,HKG,Asia Pacific,Hong Kong,11,0.00
47.236.10.182,2095,2095,false,SIN,Asia Pacific,Singapore,241,0.00
47.236.93.176,80,80,false,SIN,Asia Pacific,Singapore,253,0.00
47.236.93.176,2052,2052,false,SIN,Asia Pacific,Singapore,250,0.00
